ID	Street	City	State	Zip
0	44136 Minerva Green Nestor Alley	South Ceciliamouth	NE	45310
1	429 Kirlin Crest Kunze Spur	East Brice	WY	04949
2	5114 Renner Wall Weston Square	East Jess	NC	46494
3	41027 Schumm Manors Dorthy Camp	Jenningsmouth	UT	60458
4	831 Herman Drives Keara Island	West Jarrettmouth	IA	64134
5	3070 Wehner Neck Marcia Knoll	East Amirhaven	NC	62803
6	99524 Javier Villages Maxime Via	Nellefurt	TX	84372
7	42739 Wiza Summit Woodrow Stravenue	Lake Kyleestad	AK	97196
8	938 Regan Mountains Daugherty Haven	New Autumnberg	NC	39356
9	090 Keshawn Fields Macejkovic Ranch	New Axelview	UT	52621
10	953 Hilpert Forges Moore Mills	Nikolasburgh	WI	73333
11	8786 Jacobson Flat Hintz Extensions	O'Keefefort	IA	19934
12	39790 Tabitha Camp Webster Court	Hiltonton	DE	27697
13	2858 Macie Lights Goyette Parks	East Lurahaven	KY	47668
14	71152 Zelda Club Alessandra Mills	East Doloresborough	NC	83807
15	69036 Wilfredo Orchard Welch Ramp	New Eliseo	NY	06950
16	006 Gleason Mission Vella Walks	East Tomas	PA	59156
17	203 Prosacco Corner Dillan Brooks	Hayesview	AZ	59043
18	17258 Batz Loop Lynch Mountains	Kautzerbury	OR	87044
19	404 Larue Spur Fleta Pass	Sanfordhaven	ND	92387
20	8335 Lindsay Forge Brooke Brooks	Dulcemouth	AR	80281
21	6231 Ernie Camp Hilll Trail	Zboncakmouth	DE	01379
22	8712 Alyson Underpass O'Hara Pike	New Brant	ME	96763
23	8275 Lucio Gateway Jordane Hills	Mayerview	WV	16305
24	13646 Hayley Way Rowan Fort	Leonardborough	DE	23146
25	976 Sunny Burgs Herzog Stream	East Vito	SC	11637
26	17565 Kacey Coves Conroy Parks	North Maudie	RI	29963
27	832 Windler Trail Schowalter Cliffs	Rhettland	CA	16515
28	285 Rosenbaum Ports Kenyatta Forest	Port Ivy	KY	52138
29	227 Brady Walks Jody Manors	Gleasonfort	MN	80041
30	27259 Satterfield Mission Demarco Flat	North Kristina	NY	13890
31	8512 DuBuque Harbors Delaney Drive	Margaritachester	AK	25425
32	780 Herzog Tunnel Abshire Manors	South Carminefort	NM	96586
33	59257 Carmela Ferry Runolfsdottir Island	Kaleview	FL	03095
34	23215 Elmer Canyon Maxime Passage	South Deron	IA	83810
35	697 Schoen Grove Reilly Ridges	East Constantinland	MI	27354
36	1259 Bernard Green Dibbert Mill	Darianshire	NV	07495
37	3975 Jace Islands Arlie Streets	North Adolphhaven	OR	28149
38	121 Cecil Roads Armstrong Island	Roobfurt	TN	99589
39	49218 Ben Village Gleason Junctions	Darianhaven	ND	18946
40	0267 Lockman Ford Miguel Lights	South Julian	VA	64631
41	85515 Aliyah Mills Jeanette Skyway	Port Breanneborough	AR	91781
42	86632 Murphy Trail Mitchell Canyon	Rohanside	HI	15156
43	81317 Kihn Ridge Carroll Forks	Naomieburgh	OH	32742
44	011 Bruce Track Macejkovic Summit	New Jamil	CO	58844
45	837 White Mission Ashlee Loaf	East Felixmouth	NC	84662
46	9927 Monique Groves McDermott Spurs	Sibylburgh	WI	09185
47	5281 Lora Prairie Braun Viaduct	New Jaimeport	TX	52150
48	7508 Mariela Harbors Cremin Place	Lake Nelda	KY	79422
49	995 Kohler Knolls Johns Common	South Quinnton	CA	94393
50	65961 Steuber Islands Carmela Glens	Cielomouth	WI	74078
51	1811 Abbott Locks Emmet Burg	North Jovaniberg	CO	09212
